seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,victimIdx,uavIdx,foundTime,x,y
1,100.0,12,50.0,2.5,4.0,4,0,30.773353542525783,288.49165935031635,293.5621426431181
1,100.0,12,50.0,2.5,4.0,0,0,39.792330149347926,302.86325509846256,238.61766516153418
1,100.0,12,50.0,2.5,4.0,1,0,43.947747481598114,227.24405123647392,244.90146385900422
1,100.0,18,50.0,0.5,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,0.5,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,0.5,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,0.5,1.0,1,0,40.20976178015961,227.24405123647392,244.90146385900422
1,100.0,18,50.0,0.5,1.0,0,0,44.26880799016105,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.0,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.0,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.0,1.0,1,0,40.20976178015961,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.0,1.0,0,0,44.26880799016105,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.5,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.5,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.5,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.5,1.0,1,0,40.20976178015961,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.5,1.0,0,0,44.26880799016105,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.0,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.0,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.0,1.0,1,0,40.20976178015961,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.0,1.0,0,0,44.26880799016105,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.5,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.5,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.5,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.5,1.0,1,0,40.20976178015961,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.5,1.0,0,0,44.26880799016105,302.86325509846256,238.61766516153418
1,100.0,18,50.0,0.5,1.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,0.5,1.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,0.5,1.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,0.5,1.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,0.5,1.5,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.0,1.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.0,1.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.0,1.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.0,1.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.0,1.5,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.5,1.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.5,1.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.5,1.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.5,1.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.5,1.5,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.0,1.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.0,1.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.0,1.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.0,1.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.0,1.5,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.5,1.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.5,1.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.5,1.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.5,1.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.5,1.5,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,0.5,2.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,0.5,2.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,0.5,2.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,0.5,2.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,0.5,2.0,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.0,2.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.0,2.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.0,2.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.0,2.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.0,2.0,1,0,49.0,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.5,2.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.5,2.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.5,2.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.5,2.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.5,2.0,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.0,2.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.0,2.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.0,2.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.0,2.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.0,2.0,1,0,59.51894362702689,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.5,2.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.5,2.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.5,2.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.5,2.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.5,2.0,1,0,59.51894362702689,227.24405123647392,244.90146385900422
1,100.0,18,50.0,0.5,2.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,0.5,2.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,0.5,2.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,0.5,2.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,0.5,2.5,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.0,2.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.0,2.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.0,2.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.0,2.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.0,2.5,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.5,2.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.5,2.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.5,2.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.5,2.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.5,2.5,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.0,2.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.0,2.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.0,2.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.0,2.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.0,2.5,1,0,59.51894362702689,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.5,2.5,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.5,2.5,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.5,2.5,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,2.5,2.5,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,2.5,2.5,1,0,59.51894362702689,227.24405123647392,244.90146385900422
1,100.0,18,50.0,0.5,3.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,0.5,3.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,0.5,3.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,0.5,3.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,0.5,3.0,1,0,60.13429431081634,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.0,3.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.0,3.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.0,3.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.0,3.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.0,3.0,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,1.5,3.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,1.5,3.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,1.5,3.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,18,50.0,1.5,3.0,0,0,39.67799489416411,302.86325509846256,238.61766516153418
1,100.0,18,50.0,1.5,3.0,1,0,60.364790024950025,227.24405123647392,244.90146385900422
1,100.0,18,50.0,2.0,3.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,18,50.0,2.0,3.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,18,50.0,2.0,3.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
